title,time,videolink
b'Introduction to React Js + Installation | Complete React Course in Hindi #1',16:51,https://www.youtube.com/watch?v=-mJFZp84TIY
b'Creating our first react app using create-react-app | Complete React Course in Hindi #2',21:06,https://www.youtube.com/watch?v=hnVOvvbQrwA
b'JavaScript Refresher | Complete React Course in Hindi #3',27:23,https://www.youtube.com/watch?v=kFe-RRaOy48
b'Understanding JSX | Complete React Course in Hindi #4',26:35,https://www.youtube.com/watch?v=JvC7aA24m4Q
b'Project 1: Setup + Adding Bootstrap to React | Complete React Course in Hindi #5',18:38,https://www.youtube.com/watch?v=wa0IVAIqbo0
b'Understanding Props and PropTypes in React | Complete React Course in Hindi #6',26:03,https://www.youtube.com/watch?v=xvm3X1oyTL8
b'Understanding State & Handling Events in React | Complete React Course in Hindi #7',25:21,https://www.youtube.com/watch?v=leBpCqU8wdg
b'Adding more Logic to TextUtils | Complete React Course in Hindi #8',12:58,https://www.youtube.com/watch?v=7BsjAdjx2Z0
b'Exercise 1: Enhancing TextUtils | Complete React Course in Hindi #9',05:43,https://www.youtube.com/watch?v=KislX1yzZOQ
"b'Creating ""Enable Dark Mode"" Button Using useState Hook  | Complete React Course in Hindi #10'",19:19,https://www.youtube.com/watch?v=Sx2y4TjRZ9g
b'Exercise 1: Solutions + Shoutouts | Complete React Course in Hindi #11',06:22,https://www.youtube.com/watch?v=9pqQZqcgkeg
b'Improving Dark Mode & Refactoring App Component | Complete React Course in Hindi #12',22:02,https://www.youtube.com/watch?v=vEzt66n2LZY
b'Adding + Auto Dismissing Alert Messages | Complete React Course in Hindi #13',17:31,https://www.youtube.com/watch?v=n_KtBVxBTb4
b'Exercise 2: Adding Custom Color Theme to TextUtils | Complete React Course in Hindi #14',03:27,https://www.youtube.com/watch?v=hWo5-vkJsj0
b'Changing title dynamically & adding favicons to TextUtils | Complete React Course in Hindi #15',10:15,https://www.youtube.com/watch?v=8eSQ1o6zir0
b'React Router Setup + Usage | Complete React Course in Hindi #16',13:41,https://www.youtube.com/watch?v=WNU1BEZIjxg
b'[Free] Building + Hosting React App For free on Github Pages | Complete React Course in Hindi #17',14:14,https://www.youtube.com/watch?v=Fi75tq9JikI
b'Purchasing a Domain + Hosting TextUtils on a VPS | Complete React Course in Hindi #18',15:12,https://www.youtube.com/watch?v=YYVY1bPHaWE
b'Fixing Issues & Wrapping up TextUtils | Complete React Course in Hindi #19',36:22,https://www.youtube.com/watch?v=kEvfVw5Sq5c
b'Exercise 2: Solutions + Shoutouts | Complete React Course in Hindi #20',14:27,https://www.youtube.com/watch?v=Ghp1Mi43dxQ
b'Fixing few more Textutils Issues | Complete React Course in Hindi #21',08:34,https://www.youtube.com/watch?v=tBaCrmZ_e80
b'Project 2 Setup + Introduction to Class based components | Complete React Course in Hindi #22',10:57,https://www.youtube.com/watch?v=x9p-4QGh-OI
b'Component Structure of our NewsMonkey React App | Complete React Course in Hindi #23',16:09,https://www.youtube.com/watch?v=9xjuIe4KM-4
b'Fetching API Key from News API | Complete React Course in Hindi #24',14:22,https://www.youtube.com/watch?v=fSFlvm56JwM
b'Understanding state in class based components  | Complete React Course in Hindi #25',13:08,https://www.youtube.com/watch?v=OmoRSF1Ta6A
b'Looping through an array in JSX to display NewsItems from state | Complete React Course in Hindi #26',13:20,https://www.youtube.com/watch?v=ANKGfdi8Ki4
b'Using Fetch API in React to populate NewsItems | Complete React Course in Hindi #27',14:04,https://www.youtube.com/watch?v=cIqgQn-XBIQ
b'Adding Previous & Next Buttons to populate NewsItems | Complete React Course in Hindi #28',16:04,https://www.youtube.com/watch?v=FOjrXXdiCMs
b'Adding loading spinner & variable pageSize to NewsMonkey | Complete React Course in Hindi #29',17:28,https://www.youtube.com/watch?v=sUGwamqnJnY
b'Adding Categories & propTypes to NewsMonkey React App | Complete React Course in Hindi #30',13:34,https://www.youtube.com/watch?v=L3zCEwGpK9I
b'Fetching News category wise in NewsMonkey React App | Complete React Course in Hindi #31',15:00,https://www.youtube.com/watch?v=y9ns0Cpp2do
"b'Adding time, author and news source to News React App | Complete React Course in Hindi #32'",13:26,https://www.youtube.com/watch?v=tEm62tTwZE0
b'Refactoring News component to use the same function  | Complete React Course in Hindi #33',11:10,https://www.youtube.com/watch?v=ZJMd2mN0sbs
b'React Component Lifecycle & Lifecycle methods  | Complete React Course in Hindi #34',15:56,https://www.youtube.com/watch?v=abjeWy4sZiU
b'Adding Infinite Scroll to NewsMonkey | Complete React Course in Hindi #35',15:43,https://www.youtube.com/watch?v=yLox5lhwaEU
b'Adding a top loading bar to NewsMonkey | Complete React Course in Hindi #36',14:54,https://www.youtube.com/watch?v=j_Gk58cOB2A
b'Hiding API Key by Adding Custom Environment Variables | Complete React Course in Hindi #37',07:14,https://www.youtube.com/watch?v=fg_Rc5cBAK8
b'Introduction to React Hooks | Complete React Course in Hindi #38',09:16,https://www.youtube.com/watch?v=esrFnNV5Btc
b'Changing Class based NewsMonkey components to Functional based | Complete React Course in Hindi #39',16:40,https://www.youtube.com/watch?v=aSSVGdVk6fo
b'Sticky Navbar & NewsMonkey bug fixes | Complete React Course in Hindi #40',09:58,https://www.youtube.com/watch?v=7lrneLoa72s
b'Introduction to MERN stack | Complete React Course in Hindi #41',08:06,https://www.youtube.com/watch?v=YhJ-lPiCfyc
b'Project 3: iNotebook backend and React frontend setup | Complete React Course in Hindi #42',11:32,https://www.youtube.com/watch?v=kZbaAVJHdZw
b'iNotebook db & Express Server Setup | Complete React Course in Hindi #43',13:21,https://www.youtube.com/watch?v=jWIeK3ueOm8
b'Creating Routes & Schema for Storing Notes & Users | Complete React Course in Hindi #44',21:38,https://www.youtube.com/watch?v=HpszyPglBtQ
b'Storing Data into the Database Using Mongoose Model | Complete React Course in Hindi #45',12:02,https://www.youtube.com/watch?v=weIrv6WbIec
b'Adding Data Validation Using express-validator | Complete React Course in Hindi #46',12:02,https://www.youtube.com/watch?v=N4GHLaCSXUg
b'Creating ThunderClient Collections to Manage Requests | Complete React Course in Hindi #47',15:40,https://www.youtube.com/watch?v=vqCirjK61HI
"b'Understanding Password Hashing, Salt & Pepper | Complete React Course in Hindi #48'",17:36,https://www.youtube.com/watch?v=inEhzp3nD0M
